# adventurer_gear_map.txt — AUTO-GENERATED from your codebase (vnums are space-separated)
light_pistol|618 619 625 690 726 727 728 729 730 731 732 733
heavy_pistol|621 622 624 668 686 687 689 740 742 746 754 755
smg|739 759 776 777 778 779 780 781 782 783 784 785
assault_rifle|836 837 838 839 840 842 843 844 1450 2326 3616 4051
assault_rifle_rc|836 843 844 2326 3616 4230 5960 8475 18923 19624 19716 23394
ar_gl|3616 8475
lmg|876 877 878 5119 5125 6400 7938 19727 19923 24504 24559 28404
lmg_rc|876 878 7938 19727 24559 28404 30185 62369
shotgun|631 676 744 754 758 760 832 833 834 835 846 890
katana|632 666 800 3475 7230 13499 16412 16419 17142 17220 17299 17593
melee_weapon|376 633 635 636 637 638 647 652 655 657 658 659
lined_coat|2097 4998 8108 15869 24903 60569 80712
armored_vest|706 707 8005 23388 23389 23390 80710 80711
armored_jacket|705 14831 16205 24802 31576 45194 60311 60334 80709
sec_vest|678 2700
armor_vest_ffba|190 709 710 711 1952 1973 7800 7809 7928 7945 8493 17136
sec_armor|718 719 720 3440 4919 15701 17136 17143 17151 19704 19921 23309
sec_armor_ffba|17136
mil_spec_light|714 5407 19762 32019
mil_spec_med|80723 80724 80725
ball|850 853 856 859 862 865 868 871 910 913 916 919
apds|851 857 863 869 911 917 923 929 935 941 949 70101
exex|852 858 864 870 912 918 924 930 936 942 950 951
wired_1|319 320 321 350 351 352 353 354 355 545 1002 4257
wired_2|320 321 350 351 352 353 354 355 7265 7266 24108 32233
wired_3|321 351 353 355 7266 24108 32233 85122 85322 85522 85722
synaptic_1|413 414 456 457 85938 85939
synaptic_2|414 457 85939
synaptic_3|
credstick|17 100 101 102 103 104 105 2111 2917 4027 4806 5103
